hostname	event_date	event_time	event_time_microseconds	event_type	disk_name	srid	gc_id	trigger	round	outcome	candidates_marked	objects_deleted	objects_absent	objects_replaced	objects_spared	manifests_deleted	entries_condemned	entries_graduated	entries_redeleted	fence_outs	anomalies	duration_ms	error	ProfileEvents	round_id	phase	phase_duration_us	phase_metrics
e10bbf9b059b	2026-07-26	2026-07-26 21:27:22	2026-07-26 21:27:22.208152	Start	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	5058a40bfb066a7a5aee90025dadaefa		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:22	2026-07-26 21:27:22.210231	Phase	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1504,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8533,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':215,'ReadBufferFromS3InitMicroseconds':946,'ReadBufferFromS3Microseconds':957,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1504,'S3ReadRequestsCount':4}	5058a40bfb066a7a5aee90025dadaefa	lease	2032	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:22	2026-07-26 21:27:22.210238	Finish	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	2		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':1504,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8533,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':215,'ReadBufferFromS3InitMicroseconds':946,'ReadBufferFromS3Microseconds':957,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':1504,'S3ReadRequestsCount':4}	5058a40bfb066a7a5aee90025dadaefa		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:32	2026-07-26 21:27:32.210308	Start	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	7690f4e0ae7515f4c257684f0f5a55d5		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:32	2026-07-26 21:27:32.216540	Phase	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':5609,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8665,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':347,'ReadBufferFromS3InitMicroseconds':2280,'ReadBufferFromS3Microseconds':2287,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':5609,'S3ReadRequestsCount':4}	7690f4e0ae7515f4c257684f0f5a55d5	lease	6208	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:32	2026-07-26 21:27:32.216548	Finish	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	6		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':5609,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8665,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':347,'ReadBufferFromS3InitMicroseconds':2280,'ReadBufferFromS3Microseconds':2287,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':5609,'S3ReadRequestsCount':4}	7690f4e0ae7515f4c257684f0f5a55d5		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:42	2026-07-26 21:27:42.216621	Start	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	0f7e26e0a65f258bab297539ae6888ab		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:42	2026-07-26 21:27:42.220135	Phase	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{'CasGcGet':2,'ContextLock':8,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':2857,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8666,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':348,'ReadBufferFromS3InitMicroseconds':1896,'ReadBufferFromS3Microseconds':1904,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':2857,'S3ReadRequestsCount':4}	0f7e26e0a65f258bab297539ae6888ab	lease	3495	{'acquired':0,'steal_allowed':1}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:42	2026-07-26 21:27:42.220146	Finish	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	NotALeader	0	0	0	0	0	0	0	0	0	0	0	3		{'CasGcGet':2,'ContextLock':9,'DiskConnectionsPreserved':4,'DiskConnectionsReused':4,'DiskS3GetObject':2,'DiskS3HeadObject':2,'DiskS3ReadMicroseconds':2857,'DiskS3ReadRequestsCount':4,'IOBufferAllocBytes':8666,'IOBufferAllocs':2,'MemoryAllocatedWithoutCheck':8,'MemoryAllocatedWithoutCheckBytes':8704,'ReadBufferFromS3Bytes':348,'ReadBufferFromS3InitMicroseconds':1896,'ReadBufferFromS3Microseconds':1904,'S3GetObject':2,'S3HeadObject':2,'S3ReadMicroseconds':2857,'S3ReadRequestsCount':4}	0f7e26e0a65f258bab297539ae6888ab		0	{}
e10bbf9b059b	2026-07-26	2026-07-26 21:27:52	2026-07-26 21:27:52.220220	Start	ca	ca_soak_ch2	f0f1274d01237dfdeb8efa6c6fd8cee5	Scheduled	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0		{}	c5f952ad5e5bc2cb8ac71f2cef98e4d7		0	{}
